"fmcg_category","platform_name","product_name","date_miladi","date","cheapest_price"
"beverages","Digikala","گلاب ویژه با پودر طلا ربیع مقدار 0.75 لیتر","2025-09-16","1404/06/25",2500000
"beverages","Digikala","هات چاکلت کوپا 40 ساشه 18 گرمی","2025-09-16","1404/06/25",756000
"beverages","Digikala","گلاب ویژه با پودر طلا ربیع مقدار 0.75 لیتر","2025-09-17","1404/06/26",2500000
"beverages","Digikala","هات چاکلت کوپا 40 ساشه 18 گرمی","2025-09-17","1404/06/26",756000
"beverages","Digikala","گلاب ویژه با پودر طلا ربیع مقدار 0.75 لیتر","2025-09-18","1404/06/27",2500000
"beverages","Digikala","هات چاکلت کوپا 40 ساشه 18 گرمی","2025-09-18","1404/06/27",756000
"beverages","Digikala","گلاب ویژه با پودر طلا ربیع مقدار 0.75 لیتر","2025-09-20","1404/06/29",2500000
"beverages","Digikala","هات چاکلت کوپا 40 ساشه 18 گرمی","2025-09-20","1404/06/29",756000
"beverages","Digikala","گلاب ویژه با پودر طلا ربیع مقدار 0.75 لیتر","2025-09-21","1404/06/30",2500000
"beverages","Digikala","هات چاکلت کوپا 40 ساشه 18 گرمی","2025-09-21","1404/06/30",756000
"beverages","Digikala","گلاب ویژه با پودر طلا ربیع مقدار 0.75 لیتر","2025-09-22","1404/06/31",2500000
"beverages","Digikala","هات چاکلت کوپا 40 ساشه 18 گرمی","2025-09-22","1404/06/31",756000
"breakfast","Digikala","عسل گیاهی وحشی ارگانیک اورازان - 1 کیلوگرم","2025-08-13","1404/05/22",1950000
"breakfast","Digikala","عسل گیاهی وحشی ارگانیک اورازان - 1 کیلوگرم","2025-08-16","1404/05/25",1950000
"breakfast","Digikala","عسل گیاهی وحشی ارگانیک اورازان - 1 کیلوگرم","2025-08-17","1404/05/26",1950000
"breakfast","Digikala","عسل گیاهی وحشی ارگانیک اورازان - 1 کیلوگرم","2025-08-18","1404/05/27",1950000
"breakfast","Digikala","عسل گیاهی وحشی ارگانیک اورازان - 1 کیلوگرم","2025-08-19","1404/05/28",1950000
"breakfast","Digikala","عسل کنار شیگوار - 1 کیلوگرم","2025-08-20","1404/05/29",673920
"breakfast","Digikala","عسل آویشن ارگانیک اورازان - 650 گرم","2025-08-21","1404/05/30",779500
"breakfast","Digikala","عسل گیاهی وحشی ارگانیک اورازان - 1 کیلوگرم","2025-08-25","1404/06/03",1950000
"breakfast","Digikala","ارده ممتاز شیررضا- 1425 گرم","2025-08-26","1404/06/04",720200
"breakfast","Digikala","عسل گیاهی وحشی ارگانیک اورازان - 1 کیلوگرم","2025-08-27","1404/06/05",1950000
"breakfast","Digikala","عسل گیاهی وحشی ارگانیک اورازان - 1 کیلوگرم","2025-08-28","1404/06/06",1950000
"breakfast","Digikala","عسل گیاهی وحشی ارگانیک اورازان - 1 کیلوگرم","2025-08-30","1404/06/08",1950000
"breakfast","Digikala","عسل گیاهی وحشی ارگانیک اورازان - 1 کیلوگرم","2025-08-31","1404/06/09",1950000
"breakfast","Digikala","عسل گیاهی وحشی ارگانیک اورازان - 1 کیلوگرم","2025-09-02","1404/06/11",1950000
"breakfast","Digikala","عسل گیاهی وحشی ارگانیک اورازان - 1 کیلوگرم","2025-09-03","1404/06/12",1950000
"breakfast","Digikala","عسل گیاهی وحشی ارگانیک اورازان - 1 کیلوگرم","2025-09-04","1404/06/13",1950000
"breakfast","Digikala","زعفران درجه یک مصطفوی - 0.5 گرم","2025-09-05","1404/06/14",98000
"breakfast","Digikala","عسل گیاهی وحشی ارگانیک اورازان - 1 کیلوگرم","2025-09-08","1404/06/17",1950000
