"fmcg_category","platform_name","date_miladi","date","avg_price"
"cosmetics-hygiene","Digikala","2025-08-19","1404/05/28","60000.000000000000"
"cosmetics-hygiene","Digikala","2025-08-20","1404/05/29","92400.000000000000"
"cosmetics-hygiene","Digikala","2025-08-21","1404/05/30","77900.000000000000"
"cosmetics-hygiene","Digikala","2025-08-25","1404/06/03","60000.000000000000"
"cosmetics-hygiene","Digikala","2025-08-26","1404/06/04","57600.000000000000"
"cosmetics-hygiene","Digikala","2025-08-27","1404/06/05","60000.000000000000"
"cosmetics-hygiene","Digikala","2025-08-28","1404/06/06","60000.000000000000"
"cosmetics-hygiene","Digikala","2025-08-30","1404/06/08","57100.000000000000"
"cosmetics-hygiene","Digikala","2025-08-31","1404/06/09","63400.000000000000"
"cosmetics-hygiene","Digikala","2025-09-02","1404/06/11","63400.000000000000"
"cosmetics-hygiene","Digikala","2025-09-04","1404/06/13","63400.000000000000"
"cosmetics-hygiene","Digikala","2025-09-05","1404/06/14","98000.000000000000"
"cosmetics-hygiene","Digikala","2025-09-08","1404/06/17","63400.000000000000"
"cosmetics-hygiene","Digikala","2025-09-11","1404/06/20","63400.000000000000"
"cosmetics-hygiene","Digikala","2025-09-13","1404/06/22","63400.000000000000"
"cosmetics-hygiene","Digikala","2025-09-14","1404/06/23","63400.000000000000"
"cosmetics-hygiene","Digikala","2025-09-15","1404/06/24","63400.000000000000"
"cosmetics-hygiene","Digikala","2025-09-16","1404/06/25","63400.000000000000"
"cosmetics-hygiene","Digikala","2025-09-17","1404/06/26","63400.000000000000"
"cosmetics-hygiene","Digikala","2025-09-18","1404/06/27","85900.000000000000"
"cosmetics-hygiene","Digikala","2025-09-20","1404/06/29","63400.000000000000"
"cosmetics-hygiene","Digikala","2025-09-21","1404/06/30","63400.000000000000"
"cosmetics-hygiene","Digikala","2025-09-22","1404/06/31","63400.000000000000"
"dairy","Digikala","2025-08-13","1404/05/22","55900.000000000000"
"dairy","Digikala","2025-08-16","1404/05/25","55900.000000000000"
"dairy","Digikala","2025-08-17","1404/05/26","24000.000000000000"
"dairy","Digikala","2025-08-18","1404/05/27","24000.000000000000"
"dairy","Digikala","2025-08-19","1404/05/28","24000.000000000000"
"dairy","Digikala","2025-08-20","1404/05/29","189000.000000000000"
"dairy","Digikala","2025-08-21","1404/05/30","68000.000000000000"
"dairy","Digikala","2025-08-25","1404/06/03","55900.000000000000"
"dairy","Digikala","2025-08-26","1404/06/04","196900.000000000000"
"dairy","Digikala","2025-08-27","1404/06/05","55500.000000000000"
"dairy","Digikala","2025-08-28","1404/06/06","55500.000000000000"
"dairy","Digikala","2025-08-30","1404/06/08","16650.0000000000000000"
"dairy","Digikala","2025-08-31","1404/06/09","55900.000000000000"
"dairy","Digikala","2025-09-02","1404/06/11","55500.000000000000"
"dairy","Digikala","2025-09-03","1404/06/12","55500.000000000000"
"dairy","Digikala","2025-09-04","1404/06/13","55500.000000000000"
